benchmark,model_key,policy,metric,value,rank,n_tasks
Terminal-Bench,glm47flash,SU,latency_ratio,1.343838811808486,6.0,31
Terminal-Bench,glm47flash,SU-p,latency_ratio,1.2393478700790834,3.0,24
Terminal-Bench,glm47flash,SS,latency_ratio,1.4217471283162328,9.0,30
Terminal-Bench,glm47flash,SS-p,latency_ratio,1.581075214132262,12.0,26
Terminal-Bench,glm47flash,TRC+SU,latency_ratio,1.3971664671581163,7.0,28
Terminal-Bench,glm47flash,TRC+SS,latency_ratio,1.3037510455618109,5.0,31
Terminal-Bench,glm47flash,OTRC,latency_ratio,1.1458755958793794,2.0,32
Terminal-Bench,glm47flash,OTRC+TR,latency_ratio,1.4400173736874555,11.0,30
Terminal-Bench,glm47flash,OTRC+SU-p,latency_ratio,1.7873052384559909,13.0,23
Terminal-Bench,glm47flash,OTRC+SS-p,latency_ratio,1.437846709920172,10.0,25
Terminal-Bench,glm47flash,FC,billed_input_ratio,1.0,12.0,33
Terminal-Bench,glm47flash,TR,billed_input_ratio,0.8110935096834131,11.0,31
Terminal-Bench,glm47flash,TRC,billed_input_ratio,0.7550196279929271,10.0,31
Terminal-Bench,glm47flash,SU,billed_input_ratio,0.4143726393222768,1.0,31
Terminal-Bench,glm47flash,SU-p,billed_input_ratio,0.4518607919644066,2.0,24
Terminal-Bench,glm47flash,SS,billed_input_ratio,0.4963742924463957,3.0,30
Terminal-Bench,glm47flash,SS-p,billed_input_ratio,0.5797238058438309,6.0,26
Terminal-Bench,glm47flash,TRC+SU,billed_input_ratio,0.5889423148503208,7.0,28
Terminal-Bench,glm47flash,TRC+SS,billed_input_ratio,0.5109990143278489,4.0,31
Terminal-Bench,glm47flash,OTRC,billed_input_ratio,1.1942150707705732,13.0,32
Terminal-Bench,glm47flash,OTRC+TR,billed_input_ratio,0.6698776304928818,8.0,30
Terminal-Bench,glm47flash,OTRC+SU-p,billed_input_ratio,0.7413014848374792,9.0,23
Terminal-Bench,glm47flash,OTRC+SS-p,billed_input_ratio,0.5485170547513365,5.0,25
